Province_State,8/30/20
Alabama,2162
Alaska,37
Arizona,5030
Arkansas,784
California,12937
Colorado,1942
Connecticut,4465
Delaware,604
District of Columbia,606
Florida,11119
Georgia,5604
Hawaii,63
Idaho,359
Illinois,8228
Indiana,3291
Iowa,1113
Kansas,449
Kentucky,929
Louisiana,4931
Maine,132
Maryland,3752
Massachusetts,9049
Michigan,6748
Minnesota,1865
Mississippi,2441
Missouri,1533
Montana,104
Nebraska,392
Nevada,1302
New Hampshire,432
New Jersey,15937
New Mexico,770
New York,32951
North Carolina,2692
North Dakota,142
Ohio,4129
Oklahoma,799
Oregon,458
Pennsylvania,7658
Rhode Island,1046
South Carolina,2709
South Dakota,167
Tennessee,1747
Texas,12683
Utah,407
Vermont,58
Virginia,2569
Washington,1905
West Virginia,214
Wisconsin,1122
Wyoming,37
StateX,463
