Province_State,8/15/20
Alabama,1896
Alaska,28
Arizona,4492
Arkansas,600
California,11218
Colorado,1896
Connecticut,4453
Delaware,593
District of Columbia,597
Florida,9345
Georgia,4669
Hawaii,40
Idaho,269
Illinois,7937
Indiana,3128
Iowa,975
Kansas,406
Kentucky,810
Louisiana,4430
Maine,127
Maryland,3636
Massachusetts,8826
Michigan,6586
Minnesota,1705
Mississippi,2080
Missouri,1378
Montana,82
Nebraska,361
Nevada,1069
New Hampshire,423
New Jersey,15910
New Mexico,711
New York,32833
North Carolina,2343
North Dakota,121
Ohio,3824
Oklahoma,657
Oregon,386
Pennsylvania,7451
Rhode Island,1021
South Carolina,2260
South Dakota,152
Tennessee,1345
Texas,10268
Utah,363
Vermont,58
Virginia,2381
Washington,1766
West Virginia,160
Wisconsin,1038
Wyoming,30
