forecast_date,location,target,type,quantile,target_end_date,value
2020-07-20,01,1 wk ahead cum death,point,NA,2020-07-25,1402.0
2020-07-20,02,1 wk ahead cum death,point,NA,2020-07-25,21.0
2020-07-20,04,1 wk ahead cum death,point,NA,2020-07-25,3190.0
2020-07-20,05,1 wk ahead cum death,point,NA,2020-07-25,395.0
2020-07-20,06,1 wk ahead cum death,point,NA,2020-07-25,8162.0
2020-07-20,08,1 wk ahead cum death,point,NA,2020-07-25,1766.0
2020-07-20,09,1 wk ahead cum death,point,NA,2020-07-25,4409.0
2020-07-20,10,1 wk ahead cum death,point,NA,2020-07-25,526.0
2020-07-20,11,1 wk ahead cum death,point,NA,2020-07-25,584.0
2020-07-20,12,1 wk ahead cum death,point,NA,2020-07-25,5553.0
2020-07-20,13,1 wk ahead cum death,point,NA,2020-07-25,3274.0
2020-07-20,15,1 wk ahead cum death,point,NA,2020-07-25,28.0
2020-07-20,16,1 wk ahead cum death,point,NA,2020-07-25,133.0
2020-07-20,17,1 wk ahead cum death,point,NA,2020-07-25,7577.0
2020-07-20,18,1 wk ahead cum death,point,NA,2020-07-25,2864.0
2020-07-20,19,1 wk ahead cum death,point,NA,2020-07-25,810.0
2020-07-20,20,1 wk ahead cum death,point,NA,2020-07-25,325.0
2020-07-20,21,1 wk ahead cum death,point,NA,2020-07-25,708.0
2020-07-20,22,1 wk ahead cum death,point,NA,2020-07-25,3650.0
2020-07-20,23,1 wk ahead cum death,point,NA,2020-07-25,121.0
2020-07-20,24,1 wk ahead cum death,point,NA,2020-07-25,3418.0
2020-07-20,25,1 wk ahead cum death,point,NA,2020-07-25,8510.0
2020-07-20,26,1 wk ahead cum death,point,NA,2020-07-25,6409.0
2020-07-20,27,1 wk ahead cum death,point,NA,2020-07-25,1601.0
2020-07-20,28,1 wk ahead cum death,point,NA,2020-07-25,1442.0
2020-07-20,29,1 wk ahead cum death,point,NA,2020-07-25,1170.0
2020-07-20,30,1 wk ahead cum death,point,NA,2020-07-25,47.0
2020-07-20,31,1 wk ahead cum death,point,NA,2020-07-25,312.0
2020-07-20,32,1 wk ahead cum death,point,NA,2020-07-25,699.0
2020-07-20,33,1 wk ahead cum death,point,NA,2020-07-25,404.0
2020-07-20,34,1 wk ahead cum death,point,NA,2020-07-25,15872.0
2020-07-20,35,1 wk ahead cum death,point,NA,2020-07-25,588.0
2020-07-20,36,1 wk ahead cum death,point,NA,2020-07-25,32609.0
2020-07-20,37,1 wk ahead cum death,point,NA,2020-07-25,1739.0
2020-07-20,38,1 wk ahead cum death,point,NA,2020-07-25,96.0
2020-07-20,39,1 wk ahead cum death,point,NA,2020-07-25,3260.0
2020-07-20,40,1 wk ahead cum death,point,NA,2020-07-25,475.0
2020-07-20,41,1 wk ahead cum death,point,NA,2020-07-25,286.0
2020-07-20,42,1 wk ahead cum death,point,NA,2020-07-25,7099.0
2020-07-20,44,1 wk ahead cum death,point,NA,2020-07-25,1001.0
2020-07-20,45,1 wk ahead cum death,point,NA,2020-07-25,1327.0
2020-07-20,46,1 wk ahead cum death,point,NA,2020-07-25,128.0
2020-07-20,47,1 wk ahead cum death,point,NA,2020-07-25,956.0
2020-07-20,48,1 wk ahead cum death,point,NA,2020-07-25,4619.0
2020-07-20,49,1 wk ahead cum death,point,NA,2020-07-25,272.0
2020-07-20,50,1 wk ahead cum death,point,NA,2020-07-25,57.0
2020-07-20,51,1 wk ahead cum death,point,NA,2020-07-25,2086.0
2020-07-20,53,1 wk ahead cum death,point,NA,2020-07-25,1501.0
2020-07-20,54,1 wk ahead cum death,point,NA,2020-07-25,102.0
2020-07-20,55,1 wk ahead cum death,point,NA,2020-07-25,860.0
2020-07-20,56,1 wk ahead cum death,point,NA,2020-07-25,27.0
2020-07-20,US,1 wk ahead cum death,point,NA,2020-07-25,144472.6352
2020-07-20,01,1 wk ahead cum death,quantile,0.01,2020-07-25,1318.0
2020-07-20,02,1 wk ahead cum death,quantile,0.01,2020-07-25,18.0
2020-07-20,04,1 wk ahead cum death,quantile,0.01,2020-07-25,2879.0
2020-07-20,05,1 wk ahead cum death,quantile,0.01,2020-07-25,370.0
2020-07-20,06,1 wk ahead cum death,quantile,0.01,2020-07-25,7881.0
2020-07-20,08,1 wk ahead cum death,quantile,0.01,2020-07-25,1754.0
2020-07-20,09,1 wk ahead cum death,quantile,0.01,2020-07-25,4399.0
2020-07-20,10,1 wk ahead cum death,quantile,0.01,2020-07-25,523.0
2020-07-20,11,1 wk ahead cum death,quantile,0.01,2020-07-25,579.0
2020-07-20,12,1 wk ahead cum death,quantile,0.01,2020-07-25,5164.0
2020-07-20,13,1 wk ahead cum death,quantile,0.01,2020-07-25,3199.0
2020-07-20,15,1 wk ahead cum death,quantile,0.01,2020-07-25,24.0
2020-07-20,16,1 wk ahead cum death,quantile,0.01,2020-07-25,120.0
2020-07-20,17,1 wk ahead cum death,quantile,0.01,2020-07-25,7516.0
2020-07-20,18,1 wk ahead cum death,quantile,0.01,2020-07-25,2836.0
2020-07-20,19,1 wk ahead cum death,quantile,0.01,2020-07-25,798.0
